"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 29 13:16:16 GMT 2024","Wed May 29 13:16:17 GMT 2024","993","","Home Page Content Test","","Verify Home Page has sample of correct links","","Verify Home Page has sample of correct links",""
"passed","Wed May 29 13:16:26 GMT 2024","Wed May 29 13:16:27 GMT 2024","1166","","Login","","User cannot log in with various invalid credential combinations","","User cannot log in with various invalid credential combinations",""
"passed","Wed May 29 13:16:23 GMT 2024","Wed May 29 13:16:24 GMT 2024","1209","","Login","","User cannot log in with various invalid credential combinations","","User cannot log in with various invalid credential combinations",""
"passed","Wed May 29 13:16:24 GMT 2024","Wed May 29 13:16:26 GMT 2024","1219","","Login","","User cannot log in with various invalid credential combinations","","User cannot log in with various invalid credential combinations",""
"passed","Wed May 29 13:16:17 GMT 2024","Wed May 29 13:16:18 GMT 2024","1036","","Home Page Content Test","","Verify Home Page has sample of correct links","","Verify Home Page has sample of correct links",""
"passed","Wed May 29 13:16:21 GMT 2024","Wed May 29 13:16:22 GMT 2024","1207","","Login","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Wed May 29 13:16:30 GMT 2024","Wed May 29 13:16:31 GMT 2024","946","","Login","","User cannot access the secure page directly without logging in","","User cannot access the secure page directly without logging in",""
"passed","Wed May 29 13:16:28 GMT 2024","Wed May 29 13:16:30 GMT 2024","1356","","Login","","User can log out from the secure page","","User can log out from the secure page",""
"passed","Wed May 29 13:16:27 GMT 2024","Wed May 29 13:16:28 GMT 2024","1201","","Login","","User cannot log in with various invalid credential combinations","","User cannot log in with various invalid credential combinations",""
"passed","Wed May 29 13:16:19 GMT 2024","Wed May 29 13:16:21 GMT 2024","1412","","Home Page Content Test","","Verify Home Page has sample of correct links","","Verify Home Page has sample of correct links",""
"passed","Wed May 29 13:16:15 GMT 2024","Wed May 29 13:16:15 GMT 2024","931","","Home Page Content Test","","Verify Home Page has sample of correct links","","Verify Home Page has sample of correct links",""
"passed","Wed May 29 13:16:22 GMT 2024","Wed May 29 13:16:23 GMT 2024","1199","","Login","","User cannot log in with invalid credentials","","User cannot log in with invalid credentials",""
"passed","Wed May 29 13:16:18 GMT 2024","Wed May 29 13:16:19 GMT 2024","1184","","Home Page Content Test","","Verify Home Page has sample of correct links","","Verify Home Page has sample of correct links",""
"passed","Wed May 29 13:16:12 GMT 2024","Wed May 29 13:16:14 GMT 2024","2106","","Home Page Content Test","","Verify Home Page title is present and correct","","Verify Home Page title is present and correct",""
